"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T","CategoryGrid_soldOut_btn__u0X7H"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/metro-chef-super-fine-atta-15kg/11313013","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1708016111154.jpg&w=3840&q=75","Metro Chef Super Fine Atta 15Kg","Rs. 1,300",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/metro-chef-wheat-flour-20-kg/12621330","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1708062672725.jpg&w=3840&q=75","Metro Chef Wheat Flour 20 Kg","Rs. 1,710",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/sunridge-fortified-chakki-atta-5kg/12636469","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12636469-0-M.jpg&w=3840&q=75","SUNRIDGE Fortified Chakki Atta 5KG","Rs. 823",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/maida-(white-flour)-per-kg/12620282","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620282-0-M.jpg&w=3840&q=75","Maida (White Flour) Per KG","Rs. 125",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/rafhan-corn-flour-285-gm/12620371","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620371-0-M.jpg&w=3840&q=75","Rafhan Corn Flour 285 GM","Rs. 155",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/yadgar-atta-10-kg/12624466","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12624466-0-M.jpg&w=3840&q=75","Yadgar Atta 10 Kg","Rs. 945",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/sunridge-fortified-chakki-atta-10kg/12636640","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12636640-0-M.jpg&w=3840&q=75","Sunridge Fortified Chakki Atta 10KG","Rs. 1,285",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/sooji-per-500gm/12639799","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12639799-0-M.jpg&w=3840&q=75","Sooji per 500GM","Rs. 125",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/sunridge-super-fine-atta-5kg/12638896","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12638896-0-M.jpg&w=3840&q=75","Sunridge Super Fine Atta 5KG","Rs. 645",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/metro-chef-wheat-flour-10-kg/12621020","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1714482010779.jpg&w=3840&q=75","Metro Chef Wheat Flour 10 Kg","Rs. 855",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/yadgar-atta-20-kg/12624911","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12624911-0-M.jpg&w=3840&q=75","Yadgar Atta 20 Kg","Rs. 1,710",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/shams-grains-special-atta-20kg/16482599","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1729675759840.jpg&w=3840&q=75","Shams Grains Special Atta 20KG","Rs. 1,710",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/super-grain-diet-atta-1kg/12635929","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12635929-0-M.jpg&w=3840&q=75","Super Grain Diet Atta 1Kg","Rs. 415",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/super-grain-super-weight-loss-atta-1kg/12635930","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12635930-0-M.jpg&w=3840&q=75","Super Grain Super Weight Loss Atta 1Kg","Rs. 425",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/super-grain-chapati-flour-1kg/12635931","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12635931-0-M.jpg&w=3840&q=75","Super Grain Chapati Flour 1Kg","Rs. 425",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/super-grain-all-purpose-flour-1kg/12635936","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12635936-0-M.jpg&w=3840&q=75","Super Grain All Purpose Flour 1KG","Rs. 679",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/shams-grains-special-atta-10kg/87709803","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1739688138442.jpg&w=3840&q=75","SHAMS GRAINS SPECIAL ATTA 10KG","Rs. 855",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/ghiza-riwayati-atta-5kg/86874288","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1732887092303.jpg&w=3840&q=75","Ghiza Riwayati Atta 5Kg","Rs. 539","Sold Out"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/yadgar-atta-15-kg/12634530","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12634530-0-M.jpg&w=3840&q=75","Yadgar Atta 15 KG","Rs. 1,283","Sold Out"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/al-khubz-chakki-gold-aata-5kg/12640345","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12640345-0-M.jpg&w=3840&q=75","AL-Khubz Chakki Gold Aata 5kg","Rs. 675","Sold Out"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/ashrafi-chakki-atta-10kg/12638135","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12638135-0-M.jpg&w=3840&q=75","Ashrafi Chakki Atta 10KG","Rs. 1,249","Sold Out"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/shandar-super-fine-15kg/12641629","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12641629-0-M.jpg&w=3840&q=75","Shandar Super Fine 15Kg","Rs. 2,249","Sold Out"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/shandar-super-fine-atta-10kg/12637620","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12637620-0-M.jpg&w=3840&q=75","Shandar Super Fine Atta 10KG","Rs. 855","Sold Out"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/punjab-atta-no.1-15-kg--/12634529","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12634529-0-M.jpg&w=3840&q=75","Punjab Atta No.1 15 Kg","Rs. 1,299","Sold Out"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/white-flour-and-whole-wheat-flour/shams-grains-special-atta-15kg/11313035","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1708016309583.jpg&w=3840&q=75","Shams Grains Special Atta 15Kg","Rs. 1,283","Sold Out"
