"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T","CategoryGrid_soldOut_btn__u0X7H"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/banaspati/dalda-banaspati-ghee-1kg-x5/12620064","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620064-0-M.jpg&w=3840&q=75","Dalda Banaspati Ghee 1KG X5","Rs. 2,795",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/banaspati/shahtaj-banaspati-ghee-1x5kg/67172079","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1737367413367.jpg&w=3840&q=75","Shahtaj Banaspati Ghee 1X5Kg","Rs. 2,720",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/banaspati/sufi-banaspati-ghee-1-kg/12622447","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622447-0-M.jpg&w=3840&q=75","Sufi Banaspati Ghee 1 KG","Rs. 575",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/banaspati/dalda-banaspati-ghee-2.5kg/12621354","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621354-0-M.jpg&w=3840&q=75","Dalda Banaspati Ghee 2.5KG","Rs. 1,440",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/banaspati/ok-banaspati-ghee-1-kg-/12620749","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620749-0-M.jpg&w=3840&q=75","OK Banaspati Ghee 1 KG","Rs. 530",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/banaspati/habib-banaspati-ghee-1kg/12621695","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621695-0-M.jpg&w=3840&q=75","Habib Banaspati Ghee 1KG","Rs. 560",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/banaspati/sufi-banaspati-ghee-1-kg-x-5/12620051","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620051-0-M.jpg&w=3840&q=75","Sufi Banaspati Ghee 1 KG X 5","Rs. 2,899",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/banaspati/sufi-banaspati-gee-1kg-x-16/78484890","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1704883352857.jpg&w=3840&q=75","Sufi Banaspati Gee 1KG x 16","Rs. 8,730",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/banaspati/ok-banaspati-ghee-1-kg-x5/12621664","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621664-0-M.jpg&w=3840&q=75","OK Banaspati Ghee 1 KG X5","Rs. 2,650",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/banaspati/kausar-banaspati-ghee-1kg/12623101","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12623101-0-M.jpg&w=3840&q=75","Kausar Banaspati Ghee 1KG","Rs. 560",""
