"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T","CategoryGrid_soldOut_btn__u0X7H"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/desi-ghee/pak-desi-ghee-500-gm/12622120","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622120-0-M.jpg&w=3840&q=75","Pak Desi Ghee 500 GM","Rs. 1,470",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/desi-ghee/pak-desi-ghee-tin-0.5-kg/12622077","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622077-0-M.jpg&w=3840&q=75","Pak Desi Ghee Tin 0.5 KG","Rs. 1,460",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/desi-ghee/desi-ghee-tin-pak-1-kg-net-weight-870-gm/12621612","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621612-0-M.jpg&w=3840&q=75","Desi Ghee Tin Pak 1 KG Net Weight 870 Gm","Rs. 2,850",""
"https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/desi-ghee/pak-desi-ghee-2.5kg/12623132","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12623132-0-M.jpg&w=3840&q=75","Pak Desi Ghee 2.5KG","Rs. 7,000","Sold Out"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/desi-ghee/adam-desi-ghee-500gm/12631696","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12631696-0-M.jpg&w=3840&q=75","Adam Desi Ghee 500GM","Rs. 1,370","Sold Out"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/desi-ghee/adam-desi-ghee-2.5-kg/12631698","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12631698-0-M.jpg&w=3840&q=75","Adam Desi Ghee 2.5 KG","Rs. 6,500","Sold Out"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/desi-ghee/haleeb-asli-desi-ghee-tin-870gm/12624114","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12624114-0-M.jpg&w=3840&q=75","Haleeb Asli Desi Ghee Tin 870GM","Rs. 2,550","Sold Out"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/desi-ghee/pak-standup-desi-ghee-pouch-1-kg/12621796","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621796-0-M.jpg&w=3840&q=75","Pak Standup Desi Ghee Pouch 1 KG","Rs. 2,900","Sold Out"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/desi-ghee/olpers-desi-ghee-tarka-1kg/12621747","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621747-0-M.jpg&w=3840&q=75","Olpers Desi Ghee Tarka 1KG","Rs. 2,240","Sold Out"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/desi-ghee/pak-desi-ghee-tin-5-kg/12628338","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12628338-0-M.jpg&w=3840&q=75","Pak Desi Ghee Tin 5 KG","Rs. 14,000","Sold Out"
