"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/pulses/fine-life-baisan-1-kg/12620066","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620066-0-M.jpg&w=3840&q=75","Fine Life Baisan 1 KG","Rs. 315"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/pulses/ok-white-chana-big-7-8mm--w-/12635875","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12635875-0-M.jpg&w=3840&q=75","Ok White Chana Big 7-8mm -W-","Rs. 325"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/pulses/ok-daal-mong-washed-per-kg/12635872","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12635872-0-M.jpg&w=3840&q=75","OK Daal Mong Washed per KG","Rs. 375"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/pulses/ok-red-lobia-per-500gm/12632953","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12632953-0-M.jpg&w=3840&q=75","OK Red Lobia Per 500GM","Rs. 449"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/pulses/metro-chef-black-chana-1kg/12642794","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12642794-0-M.jpg&w=3840&q=75","Metro Chef Black Chana 1Kg","Rs. 299"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/pulses/ok-black-chana-1kg/12642362","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12642362-0-M.jpg&w=3840&q=75","OK Black Chana 1Kg","Rs. 249"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/pulses/metro-chef-daal-masoor-washed-1kg/12642740","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12642740-0-M.jpg&w=3840&q=75","Metro Chef Daal Masoor Washed 1KG","Rs. 345"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/pulses/metro-chef-daal-chana-1kg/12633063","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12633063-0-M.jpg&w=3840&q=75","Metro Chef Daal Chana 1KG","Rs. 379"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/pulses/metro-chef-white-chana-large-1kg/12642799","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12642799-0-M.jpg&w=3840&q=75","Metro Chef White Chana Large 1KG","Rs. 440"
"https://www.metro-online.pk/detail/cooking-essentials/commodities/pulses/metro-chef-daal-mong-washed-1kg/12642797","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12642797-0-M.jpg&w=3840&q=75","Metro Chef Daal Mong Washed 1KG","Rs. 475"
