"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T","CategoryGrid_soldOut_btn__u0X7H"
"https://www.metro-online.pk/detail/beverages/red-syrups-and-squashes/red-syrups/rooh-afza-800-ml/12620255","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620255-0-M.jpg&w=3840&q=75","Rooh Afza 800 ML","Rs. 430",""
"https://www.metro-online.pk/detail/beverages/red-syrups-and-squashes/red-syrups/qarshi-jam-e-shireen-3l/12632307","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12632307-0-M.jpg&w=3840&q=75","Qarshi Jam-e-Shireen 3L","Rs. 1,308",""
"https://www.metro-online.pk/detail/beverages/red-syrups-and-squashes/red-syrups/rooh-afza-1.5l/12637946","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12637946-0-M.jpg&w=3840&q=75","Rooh Afza 1.5L","Rs. 750",""
"https://www.metro-online.pk/detail/beverages/red-syrups-and-squashes/red-syrups/qarshi-jam-e-shireen-1.5l/12636653","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12636653-0-M.jpg&w=3840&q=75","Qarshi Jam e Shireen 1.5L","Rs. 754",""
"https://www.metro-online.pk/detail/beverages/red-syrups-and-squashes/red-syrups/qarshi-jam-e-shireen-800ml/12637641","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12637641-0-M.jpg&w=3840&q=75","Qarshi Jam-e-Shireen 800ML","Rs. 450",""
"https://www.metro-online.pk/detail/beverages/red-syrups-and-squashes/red-syrups/qarshi-jameshirin-500ml/11313006","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1708016501964.jpg&w=3840&q=75","Qarshi Jameshirin 500ML","Rs. 251",""
"https://www.metro-online.pk/detail/beverages/red-syrups-and-squashes/red-syrups/qarshi-jam-e-shirin-sugar-free-800ml/12621638","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621638-0-M.jpg&w=3840&q=75","Qarshi Jam e Shirin Sugar Free 800ML","Rs. 450",""
"https://www.metro-online.pk/detail/beverages/red-syrups-and-squashes/red-syrups/rooh-afza-3l/12631626","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12631626-0-M.jpg&w=3840&q=75","Rooh Afza 3L","Rs. 1,350",""
"https://www.metro-online.pk/detail/beverages/red-syrups-and-squashes/red-syrups/quice-ice-cream-syrup-800ml/12621697","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621697-0-M.jpg&w=3840&q=75","Quice Ice Cream Syrup 800ML","Rs. 420","Sold Out"
"https://www.metro-online.pk/detail/beverages/red-syrups-and-squashes/red-syrups/quice-rooh-e-shireen-800ml/12625174","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12625174-0-M.jpg&w=3840&q=75","Quice Rooh e Shireen 800ML","Rs. 420","Sold Out"
