"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T","CategoryGrid_soldOut_btn__u0X7H"
"https://www.metro-online.pk/detail/beverages/red-syrups-and-squashes/squashes/shezan-squash-lemon-800-ml/12622088","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622088-0-M.jpg&w=3840&q=75","Shezan Squash Lemon 800 ML","Rs. 350",""
"https://www.metro-online.pk/detail/beverages/red-syrups-and-squashes/squashes/qarshi-sherbat-e-ilaichi-800-ml/12621090","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621090-0-M.jpg&w=3840&q=75","Qarshi Sherbat-e-Ilaichi 800 ML","Rs. 450",""
"https://www.metro-online.pk/detail/beverages/red-syrups-and-squashes/squashes/lifestyle-sardai-syrup-800ml/12643039","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12643039-0-M.jpg&w=3840&q=75","Lifestyle Sardai Syrup 800ML","Rs. 519",""
"https://www.metro-online.pk/detail/beverages/red-syrups-and-squashes/squashes/t1%C3%A2%C2%A0sharbat-bazooreen-800-ml/12628971","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12628971-0-M.jpg&w=3840&q=75","T1Â Sharbat Bazooreen 800 ML","Rs. 450",""
"https://www.metro-online.pk/detail/beverages/red-syrups-and-squashes/squashes/shezan-lemon-barley-squash-800-ml/30769352","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1724934552962.jpg&w=3840&q=75","Shezan Lemon Barley Squash 800 ml","Rs. 350","Sold Out"
"https://www.metro-online.pk/detail/beverages/red-syrups-and-squashes/squashes/t1%C3%A2%C2%A0sharbat-sandaleen-800-ml/12628972","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12628972-0-M.jpg&w=3840&q=75","T1Â Sharbat Sandaleen 800 ML","Rs. 450","Sold Out"
"https://www.metro-online.pk/detail/beverages/red-syrups-and-squashes/squashes/mitchells-squash-lemon-800-ml/12625517","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12625517-0-M.jpg&w=3840&q=75","Mitchells Squash Lemon 800 ML","Rs. 304","Sold Out"
"https://www.metro-online.pk/detail/beverages/red-syrups-and-squashes/squashes/shezan-squash-lemon-barley-300ml/12622765","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622765-0-M.jpg&w=3840&q=75","Shezan Squash Lemon Barley 300ML","Rs. 110","Sold Out"
"https://www.metro-online.pk/detail/beverages/red-syrups-and-squashes/squashes/mitchells-squash-mango-800ml-x-1/12622594","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622594-0-M.jpg&w=3840&q=75","Mitchells Squash Mango 800ML X 1","Rs. 304","Sold Out"
"https://www.metro-online.pk/detail/beverages/red-syrups-and-squashes/squashes/shezan-squash-mango-800-ml/12621254","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621254-0-M.jpg&w=3840&q=75","Shezan Squash Mango 800 ML","Rs. 370","Sold Out"
