"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T","CategoryGrid_soldOut_btn__u0X7H"
"https://www.metro-online.pk/detail/dairy/butter-and-margarine/margarine/blue-band-margarine-100gm/12621147","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621147-0-M.jpg&w=3840&q=75","Blue Band Margarine 100GM","Rs. 160",""
"https://www.metro-online.pk/detail/dairy/butter-and-margarine/margarine/blue-band-margarine-tub-500-gm/12620108","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620108-0-M.jpg&w=3840&q=75","Blue Band Margarine Tub 500 GM","Rs. 875",""
"https://www.metro-online.pk/detail/dairy/butter-and-margarine/margarine/mumtaz-margarine-200gm/12624344","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12624344-0-M.jpg&w=3840&q=75","Mumtaz Margarine 200GM","Rs. 345",""
"https://www.metro-online.pk/detail/dairy/butter-and-margarine/margarine/blue-band-margarine-200-gm/12620468","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620468-0-M.jpg&w=3840&q=75","Blue Band Margarine 200 GM","Rs. 299",""
"https://www.metro-online.pk/detail/dairy/butter-and-margarine/margarine/meadowlea-margarine-500-gm/12624333","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12624333-0-M.jpg&w=3840&q=75","Meadowlea Margarine 500 GM","Rs. 1,460",""
"https://www.metro-online.pk/detail/dairy/butter-and-margarine/margarine/olive-grove-spread-lite-500-gm/12624331","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12624331-0-M.jpg&w=3840&q=75","Olive Grove Spread Lite 500 GM","Rs. 1,665",""
"https://www.metro-online.pk/detail/dairy/butter-and-margarine/margarine/mumtaz-margarine-tub-250-gm/12622359","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622359-0-M.jpg&w=3840&q=75","Mumtaz Margarine Tub 250 GM","Rs. 475",""
"https://www.metro-online.pk/detail/dairy/butter-and-margarine/margarine/olive-grove-spread-375-gm/12622326","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622326-0-M.jpg&w=3840&q=75","Olive Grove Spread 375 GM","Rs. 1,460",""
"https://www.metro-online.pk/detail/dairy/butter-and-margarine/margarine/mumtaz-margarine-tub-500-gm/12622225","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622225-0-M.jpg&w=3840&q=75","Mumtaz Margarine Tub 500 GM","Rs. 900",""
"https://www.metro-online.pk/detail/dairy/butter-and-margarine/margarine/mumtaz-margarine-500-gm/12622184","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622184-0-M.jpg&w=3840&q=75","Mumtaz Margarine 500 GM","Rs. 716",""
"https://www.metro-online.pk/detail/dairy/butter-and-margarine/margarine/blue-band-margarine-tub-250-gm/12620196","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620196-0-M.jpg&w=3840&q=75","Blue Band Margarine Tub 250 GM","Rs. 490",""
"https://www.metro-online.pk/detail/dairy/butter-and-margarine/margarine/lurpak-spreadable-butter-salted-500gm/12624367","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12624367-0-M.jpg&w=3840&q=75","Lurpak Spreadable Butter Salted 500GM","Rs. 2,499","Sold Out"
