"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T","CategoryGrid_soldOut_btn__u0X7H"
"https://www.metro-online.pk/detail/dairy/milk/flavored-milk/day-fresh-choco-milk-235-ml-x-12/12628333","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12628333-0-M.jpg&w=3840&q=75","Day Fresh Choco Milk 235 ML X 12","Rs. 1,020",""
"https://www.metro-online.pk/detail/dairy/milk/flavored-milk/nestle-milo-milk-chocolate-180ml/12620193","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620193-0-M.jpg&w=3840&q=75","Nestle Milo Milk Chocolate 180ML","Rs. 94",""
"https://www.metro-online.pk/detail/dairy/milk/flavored-milk/day-fresh-flavored-milk-zafran-225-ml/12625823","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12625823-0-M.jpg&w=3840&q=75","Day Fresh Flavored Milk Zafran 225 ML","Rs. 85",""
"https://www.metro-online.pk/detail/dairy/milk/flavored-milk/day-fresh-strawberry-milk-235-ml-x-12/12628334","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12628334-0-M.jpg&w=3840&q=75","Day Fresh Strawberry Milk 235 ML X 12","Rs. 1,020",""
"https://www.metro-online.pk/detail/dairy/milk/flavored-milk/day-fresh-flavored-milk-strawberry-225-ml/12625791","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12625791-0-M.jpg&w=3840&q=75","Day Fresh Flavored Milk Strawberry 225 ML","Rs. 85",""
"https://www.metro-online.pk/detail/dairy/milk/flavored-milk/dairy-omung-dairy-drink-225ml/12621865","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1713865742775.jpg&w=3840&q=75","Dairy Omung Dairy Drink 225ML","Rs. 69",""
"https://www.metro-online.pk/detail/dairy/milk/flavored-milk/dairy-omung-dairy-drink-225ml-x-27/12621958","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1714382101370.jpg&w=3840&q=75","Dairy Omung Dairy Drink 225ML X 27","Rs. 1,836",""
"https://www.metro-online.pk/detail/dairy/milk/flavored-milk/dayfresh-flavored-banana-milk-225ml-x12/12640471","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12640471-0-M.jpg&w=3840&q=75","Dayfresh Flavored Banana Milk 225ML x12","Rs. 1,140",""
"https://www.metro-online.pk/detail/dairy/milk/flavored-milk/nestle-milo-chocolate-milk--180ml-x-6/12620767","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620767-0-M.jpg&w=3840&q=75","Nestle Milo Chocolate Milk  180ML X 6","Rs. 582",""
"https://www.metro-online.pk/detail/dairy/milk/flavored-milk/dairy-omung-dairy-drink-1.5-litre/12621930","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1713864935270.jpg&w=3840&q=75","Dairy Omung Dairy Drink 1.5 Litre","Rs. 372",""
"https://www.metro-online.pk/detail/dairy/milk/flavored-milk/adams-lassi-namkin-225ml/12622117","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622117-0-M.jpg&w=3840&q=75","Adams Lassi Namkin 225ML","Rs. 100",""
"https://www.metro-online.pk/detail/dairy/milk/flavored-milk/olpers-flavored-milk-strawberry-180ml-x24/12636790","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1714383696932.jpg&w=3840&q=75","Olpers Flavored Milk Strawberry 180ML x24","Rs. 2,040",""
"https://www.metro-online.pk/detail/dairy/milk/flavored-milk/olpers-flavored-milk-chocolate-180ml/12636788","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1713869762100.jpg&w=3840&q=75","Olpers Flavored Milk Chocolate 180ML","Rs. 87",""
"https://www.metro-online.pk/detail/dairy/milk/flavored-milk/oolala-flavoured-milk-strawberry-180ml/12622924","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622924-0-M.jpg&w=3840&q=75","Oolala Flavoured Milk Strawberry 180ML","Rs. 79",""
"https://www.metro-online.pk/detail/dairy/milk/flavored-milk/oolala-flavoured-milk-badam-zafran-200ml-x-12/12623290","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12623290-0-M.jpg&w=3840&q=75","Oolala Flavoured Milk Badam Zafran 200ML x 12","Rs. 900",""
"https://www.metro-online.pk/detail/dairy/milk/flavored-milk/adams-lassi-sweet-225ml/12621490","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621490-0-M.jpg&w=3840&q=75","Adams Lassi Sweet 225ML","Rs. 100",""
"https://www.metro-online.pk/detail/dairy/milk/flavored-milk/dairy-omung-dairy-drink-1000ml/12620747","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1713865525196.jpg&w=3840&q=75","Dairy Omung Dairy Drink 1000ML","Rs. 274",""
"https://www.metro-online.pk/detail/dairy/milk/flavored-milk/oolala-banana-fruit-milk-225ml-x12/12629554","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12629554-0-M.jpg&w=3840&q=75","Oolala Banana Fruit Milk 225ML X12","Rs. 960",""
"https://www.metro-online.pk/detail/dairy/milk/flavored-milk/comelle-sweetened-milk-tin-397gm/12629457","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12629457-0-M.jpg&w=3840&q=75","Comelle Sweetened Milk Tin 397GM","Rs. 390",""
"https://www.metro-online.pk/detail/dairy/milk/flavored-milk/oolala-strawberry-225ml-x-12/12629460","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12629460-0-M.jpg&w=3840&q=75","Oolala Strawberry 225ML X 12","Rs. 960",""
"https://www.metro-online.pk/detail/dairy/milk/flavored-milk/nescafe-chilled-hazelnut-220ml-x-12/12641610","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12641610-0-M.jpg&w=3840&q=75","Nescafe Chilled Hazelnut 220ML x 12","Rs. 1,821",""
"https://www.metro-online.pk/detail/dairy/milk/flavored-milk/polac-condensed-milk-tin-390gm/12630856","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12630856-0-M.jpg&w=3840&q=75","Polac Condensed Milk Tin 390GM","Rs. 510",""
