"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T"
"https://www.metro-online.pk/detail/dairy/milk/uht-and-pasteurized-milk/olpers-milk-250ml/12625881","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1713866366178.jpg&w=3840&q=75","Olpers Milk 250ML","Rs. 85"
"https://www.metro-online.pk/detail/dairy/milk/uht-and-pasteurized-milk/nurpur-milk-uht-1.5l/12643008","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12643008-0-M.jpg&w=3840&q=75","Nurpur Milk UHT 1.5L","Rs. 459"
"https://www.metro-online.pk/detail/dairy/milk/uht-and-pasteurized-milk/nestle-milk-nesvita-200ml/12622110","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622110-0-M.jpg&w=3840&q=75","Nestle Milk Nesvita 200ML","Rs. 85"
"https://www.metro-online.pk/detail/dairy/milk/uht-and-pasteurized-milk/olpers-milk-1500ml-x8/12620560","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1714383088259.jpg&w=3840&q=75","Olpers Milk 1500ML x8","Rs. 3,979"
"https://www.metro-online.pk/detail/dairy/milk/uht-and-pasteurized-milk/haleeb-milk-250-ml-x27/12622469","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622469-0-M.jpg&w=3840&q=75","Haleeb Milk 250 ML x27","Rs. 2,170"
"https://www.metro-online.pk/detail/dairy/milk/uht-and-pasteurized-milk/nurpur-milk-1000-ml-x-12/12623058","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12623058-0-M.jpg&w=3840&q=75","Nurpur Milk 1000 ML X 12","Rs. 3,708"
"https://www.metro-online.pk/detail/dairy/milk/uht-and-pasteurized-milk/nestle-milkpak-250ml/12620499","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1741238358291.jpg&w=3840&q=75","Nestle Milkpak 250ML","Rs. 89"
"https://www.metro-online.pk/detail/dairy/milk/uht-and-pasteurized-milk/nestle-milkpak-250ml-x27/12620386","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FMisc%2F1686560126390.jpg&w=3840&q=75","Nestle Milkpak 250ML x27","Rs. 2,345"
"https://www.metro-online.pk/detail/dairy/milk/uht-and-pasteurized-milk/olpers-milk-250ml-x27/12627267","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1714383177447.jpg&w=3840&q=75","Olpers Milk 250ML x27","Rs. 2,349"
"https://www.metro-online.pk/detail/dairy/milk/uht-and-pasteurized-milk/asli-uht-milk-1000ml-x12/12636185","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12636185-0-M.jpg&w=3840&q=75","Asli UHT Milk 1000ML x12","Rs. 3,350"
"https://www.metro-online.pk/detail/dairy/milk/uht-and-pasteurized-milk/nurpur-milk-1.5l-x8/12643041","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12643041-0-M.jpg&w=3840&q=75","Nurpur Milk 1.5L x8","Rs. 3,810"
"https://www.metro-online.pk/detail/dairy/milk/uht-and-pasteurized-milk/adams-milk-pasteurised-1000ml/12620700","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620700-0-M.jpg&w=3840&q=75","Adams Milk pasteurised 1000ML","Rs. 270"
"https://www.metro-online.pk/detail/dairy/milk/uht-and-pasteurized-milk/nestle-milk-nesvita-1000ml/12620812","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620812-0-M.jpg&w=3840&q=75","Nestle Milk Nesvita 1000ML","Rs. 380"
"https://www.metro-online.pk/detail/dairy/milk/uht-and-pasteurized-milk/olpers-milk-ecolean-250ml-x28/12620647","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1714382817578.jpg&w=3840&q=75","Olpers Milk Ecolean 250ML x28","Rs. 2,436"
"https://www.metro-online.pk/detail/dairy/milk/uht-and-pasteurized-milk/nurpur-uht-milk-250-ml-x27/71898069","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1694172659313.jpg&w=3840&q=75","Nurpur UHT Milk 250 ML X27","Rs. 2,220"
"https://www.metro-online.pk/detail/dairy/milk/uht-and-pasteurized-milk/prema-milk-pasteurized-1ltr/12620319","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620319-0-M.jpg&w=3840&q=75","Prema Milk Pasteurized 1LTR","Rs. 376"
"https://www.metro-online.pk/detail/dairy/milk/uht-and-pasteurized-milk/asli-uht-milk-1000ml/55743684","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1701855835268.jpg&w=3840&q=75","Asli UHT Milk 1000ML","Rs. 280"
"https://www.metro-online.pk/detail/dairy/milk/uht-and-pasteurized-milk/nurpur-milk-1000-ml/12622460","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622460-0-M.jpg&w=3840&q=75","Nurpur Milk 1000 ML","Rs. 340"
"https://www.metro-online.pk/detail/dairy/milk/uht-and-pasteurized-milk/haleeb-milk-250ml/12623022","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12623022-0-M.jpg&w=3840&q=75","Haleeb Milk 250ML","Rs. 84"
"https://www.metro-online.pk/detail/dairy/milk/uht-and-pasteurized-milk/dairy-pure-milk-1000ml/12620421","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620421-0-M.jpg&w=3840&q=75","Dairy Pure Milk 1000ML","Rs. 280"
