"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T"
"https://www.metro-online.pk/detail/dairy/yogurt/plain-yogurt-and-flavored-yogurt/amsons-yogurt-1kg/12621218","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621218-0-M.jpg&w=3840&q=75","Amsons Yogurt 1KG","Rs. 339"
"https://www.metro-online.pk/detail/dairy/yogurt/plain-yogurt-and-flavored-yogurt/nestle-milkpak-yogurt-900gm/12622841","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622841-0-M.jpg&w=3840&q=75","Nestle Milkpak Yogurt 900GM","Rs. 359"
"https://www.metro-online.pk/detail/dairy/yogurt/plain-yogurt-and-flavored-yogurt/nestle-milkpak-yogurt-450gm/12635380","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1730879972883.jpg&w=3840&q=75","Nestle Milkpak Yogurt 450GM","Rs. 210"
"https://www.metro-online.pk/detail/dairy/yogurt/plain-yogurt-and-flavored-yogurt/adams-yogurt-plain-400gm/12620955","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620955-0-M.jpg&w=3840&q=75","Adams Yogurt Plain 400GM","Rs. 240"
"https://www.metro-online.pk/detail/dairy/yogurt/plain-yogurt-and-flavored-yogurt/amsons-yogurt-500gm/12620854","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620854-0-M.jpg&w=3840&q=75","Amsons Yogurt 500GM","Rs. 185"
"https://www.metro-online.pk/detail/dairy/yogurt/plain-yogurt-and-flavored-yogurt/prema-yogurt-plain-400gm/12621665","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621665-0-M.jpg&w=3840&q=75","Prema Yogurt Plain 400GM","Rs. 225"
"https://www.metro-online.pk/detail/dairy/yogurt/plain-yogurt-and-flavored-yogurt/prema-yogurt-pouch-value-pack-500gm/12636484","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12636484-0-M.jpg&w=3840&q=75","Prema Yogurt Pouch Value Pack 500GM","Rs. 190"
"https://www.metro-online.pk/detail/dairy/yogurt/plain-yogurt-and-flavored-yogurt/adams-raita-zeera-200gm/12623514","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12623514-0-M.jpg&w=3840&q=75","Adams Raita Zeera 200GM","Rs. 130"
"https://www.metro-online.pk/detail/dairy/yogurt/plain-yogurt-and-flavored-yogurt/prema-sweet-yoghurt-pack-400gm/12622463","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622463-0-M.jpg&w=3840&q=75","Prema Sweet Yoghurt pack 400GM","Rs. 225"
"https://www.metro-online.pk/detail/dairy/yogurt/plain-yogurt-and-flavored-yogurt/adams-raita-mint-200gm/12622313","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622313-0-M.jpg&w=3840&q=75","Adams Raita Mint 200GM","Rs. 130"
"https://www.metro-online.pk/detail/dairy/yogurt/plain-yogurt-and-flavored-yogurt/nestle-laban-350ml/12641363","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12641363-0-M.jpg&w=3840&q=75","Nestle Laban 350ML","Rs. 224"
"https://www.metro-online.pk/detail/dairy/yogurt/plain-yogurt-and-flavored-yogurt/prema-strawberry-yogurt-90-gm/12628498","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12628498-0-M.jpg&w=3840&q=75","Prema Strawberry Yogurt 90 GM","Rs. 105"
"https://www.metro-online.pk/detail/dairy/yogurt/plain-yogurt-and-flavored-yogurt/prema-strawberry-yogurt-80-gm/12628495","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12628495-0-M.jpg&w=3840&q=75","Prema Strawberry Yogurt 80 GM","Rs. 95"
"https://www.metro-online.pk/detail/dairy/yogurt/plain-yogurt-and-flavored-yogurt/nestle-zeera-raita-250gm/12625960","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12625960-0-M.jpg&w=3840&q=75","Nestle Zeera Raita 250GM","Rs. 152"
