"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/dry-fruits-and-nuts/aseel-dates-1-kg/12628315","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12628315-0-M.jpg&w=3840&q=75","Aseel Dates 1 KG","Rs. 529"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/dry-fruits-and-nuts/dates-aseel-500gm/12623212","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12623212-0-M.jpg&w=3840&q=75","Dates Aseel 500GM","Rs. 269"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/dry-fruits-and-nuts/ok-khopra-dates-800gm/12622403","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622403-0-M.jpg&w=3840&q=75","OK Khopra Dates 800GM","Rs. 539"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/dry-fruits-and-nuts/ok-khopra-dates-500gm/12625444","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12625444-0-M.jpg&w=3840&q=75","OK Khopra Dates 500GM","Rs. 349"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/dry-fruits-and-nuts/dates-karbalain-1kg/12623544","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12623544-0-M.jpg&w=3840&q=75","Dates Karbalain 1KG","Rs. 549"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/dry-fruits-and-nuts/dates-karbalain-500gm/12632281","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12632281-0-M.jpg&w=3840&q=75","Dates Karbalain 500GM","Rs. 279"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/dry-fruits-and-nuts/ok-zahidi-dates-1kg/12642885","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12642885-0-M.jpg&w=3840&q=75","OK Zahidi Dates 1KG","Rs. 599"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/dry-fruits-and-nuts/ok-dates-zahidi-500gm/12623179","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12623179-0-M.jpg&w=3840&q=75","OK Dates Zahidi 500GM","Rs. 299"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/dry-fruits-and-nuts/rewari-500gm/16805472","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1735716897981.jpg&w=3840&q=75","Rewari 500GM","Rs. 349"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/dry-fruits-and-nuts/dates-aseel-with-cashewnut-400gm/61703590","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1738661808561.jpg&w=3840&q=75","Dates Aseel With Cashewnut 400GM","Rs. 899"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/dry-fruits-and-nuts/fried-onion-250gm/29587909","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1738229702070.jpg&w=3840&q=75","Fried Onion 250GM","Rs. 199"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/dry-fruits-and-nuts/dates-aseel-pitted-800gm/62012472","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1738662082058.jpg&w=3840&q=75","Dates Aseel Pitted 800GM","Rs. 1,149"
