"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-fruits/kinnow-per-250gm/12620025","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1703758687191.jpg&w=3840&q=75","Kinnow Per 250GM","Rs. 60"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-fruits/strawberry-per-250gm/12620046","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1708585508682.jpg&w=3840&q=75","Strawberry per 250GM","Rs. 132"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-fruits/mussammi-per-250gm/12620431","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1697184088567.jpg&w=3840&q=75","Mussammi Per 250GM","Rs. 35"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-fruits/kalakulu-apple-per-250gm/12620038","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620038-0-M.jpg&w=3840&q=75","KalaKulu Apple Per 250GM","Rs. 117"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-fruits/bananas-per-dozen/12620011","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620011-0-M.jpg&w=3840&q=75","Bananas per Dozen","Rs. 299"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-fruits/guava-per-250gm/12620149","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620149-0-M.jpg&w=3840&q=75","Guava Per 250GM","Rs. 72"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-fruits/grapefruit-per-500gm/12620800","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1691393851286.jpg&w=3840&q=75","GrapeFruit Per 500GM","Rs. 50"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-fruits/shinkulu-premium-apple-per-250gm/12620211","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620211-0-M.jpg&w=3840&q=75","Shinkulu Premium Apple Per 250GM","Rs. 75"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-fruits/oranges-(fruiter)-per-250gm/12620602","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1701951396755.jpg&w=3840&q=75","Oranges (Fruiter) Per 250GM","Rs. 50"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-fruits/kinnow-with-leaf--stalk-per-250gm/12620867","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620867-0-M.jpg&w=3840&q=75","Kinnow With Leaf  Stalk Per 250GM","Rs. 60"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-fruits/khandari-pomegranate-per-250gm/12620166","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1695308887101.jpg&w=3840&q=75","Khandari Pomegranate Per 250GM","Rs. 175"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-fruits/cheeku-per-250gm/12620881","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1689253565063.jpg&w=3840&q=75","Cheeku Per 250GM","Rs. 63"
