"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/potato-a-quality-per-250gm/12620748","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620748-0-M.jpg&w=3840&q=75","Potato A Quality per 250GM","Rs. 16"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/tomatoes-per-250gm/12620008","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620008-0-M.jpg&w=3840&q=75","Tomatoes Per 250GM","Rs. 21"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/onions-per-250gm/12620422","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1689768731784.jpg&w=3840&q=75","Onions per 250GM","Rs. 25"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/carrot-red-a-grade-per-250gm-/12640208","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12640208-0-M.jpg&w=3840&q=75","Carrot Red A-Grade per 250GM","Rs. 12"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/peas-per-250gm/12620243","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620243-0-M.jpg&w=3840&q=75","Peas Per 250GM","Rs. 22"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/potato-premium-per-250gm/12642461","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12642461-0-M.jpg&w=3840&q=75","Potato Premium per 250GM","Rs. 16"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/cucumber-per-250gm/12620049","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620049-0-M.jpg&w=3840&q=75","Cucumber Per 250GM","Rs. 24"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/onions-a-quality-per-250gm/12620103","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620103-0-M.jpg&w=3840&q=75","Onions A Quality per 250GM","Rs. 27"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/green-capsicum-per-250gm/12620078","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620078-0-M.jpg&w=3840&q=75","Green Capsicum Per 250GM","Rs. 42"
"https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/cauliflower-per-500gm/12620194","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620194-0-M.jpg&w=3840&q=75","Cauliflower Per 500GM","Rs. 18"
