"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T"
"https://www.metro-online.pk/detail/fresh-food/meat/beef/beef-mince-per-250gm/12620019","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620019-0-M.jpg&w=3840&q=75","Beef Mince per 250gm","Rs. 337"
"https://www.metro-online.pk/detail/fresh-food/meat/beef/veal-pulao-cut-(with-bones)-per-250gm/12621894","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621894-0-M.jpg&w=3840&q=75","Veal Pulao Cut (with bones) Per 250gm","Rs. 337"
"https://www.metro-online.pk/detail/fresh-food/meat/beef/veal-boti-(boneless)-per-250gm--/12620504","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620504-0-M.jpg&w=3840&q=75","Veal Boti (Boneless) Per 250gm","Rs. 500"
"https://www.metro-online.pk/detail/fresh-food/meat/beef/veal-mince-per-250gm-/12620071","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620071-0-M.jpg&w=3840&q=75","Veal Mince Per 250gm","Rs. 375"
"https://www.metro-online.pk/detail/fresh-food/meat/beef/beef-boti-boneless-per-250gm-/12622561","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622561-0-M.jpg&w=3840&q=75","Beef Boti Boneless Per 250gm","Rs. 412"
"https://www.metro-online.pk/detail/fresh-food/meat/beef/veal-loaf-(boneless)-per-500gm/12620128","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620128-0-M.jpg&w=3840&q=75","Veal Loaf (boneless) Per 500GM","Rs. 850"
"https://www.metro-online.pk/detail/fresh-food/meat/beef/beef-loaf-boneless-per-250gm/12620074","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620074-0-M.jpg&w=3840&q=75","Beef Loaf Boneless per 250gm","Rs. 400"
"https://www.metro-online.pk/detail/fresh-food/meat/beef/veal-fillet-per-250gm/12624325","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12624325-0-M.jpg&w=3840&q=75","Veal Fillet Per 250gm","Rs. 575"
"https://www.metro-online.pk/detail/fresh-food/meat/beef/top-sirlion-steak-per-250gm--/12624983","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12624983-0-M.jpg&w=3840&q=75","Top Sirlion Steak Per 250gm","Rs. 425"
"https://www.metro-online.pk/detail/fresh-food/meat/beef/sirlion-steak-per-250gm-/12624984","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12624984-0-M.jpg&w=3840&q=75","Sirlion Steak Per 250gm","Rs. 425"
"https://www.metro-online.pk/detail/fresh-food/meat/beef/veal-back-chop-per-250gm--/12623057","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12623057-0-M.jpg&w=3840&q=75","Veal Back Chop Per 250gm","Rs. 362"
"https://www.metro-online.pk/detail/fresh-food/meat/beef/beef-fillet-per-250gm/12622458","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622458-0-M.jpg&w=3840&q=75","Beef Fillet per 250gm","Rs. 650"
"https://www.metro-online.pk/detail/fresh-food/meat/beef/back-ribs-per-250gm--/12624990","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12624990-0-M.jpg&w=3840&q=75","Back Ribs Per 250gm","Rs. 375"
"https://www.metro-online.pk/detail/fresh-food/meat/beef/strip-steak-boneless-per-250gm--/12624987","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12624987-0-M.jpg&w=3840&q=75","Strip Steak Boneless Per 250gm","Rs. 425"
"https://www.metro-online.pk/detail/fresh-food/meat/beef/top-round-steak-per-250gm--/12624985","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12624985-0-M.jpg&w=3840&q=75","Top Round Steak Per 250gm","Rs. 425"
