"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T"
"https://www.metro-online.pk/detail/fresh-food/meat/chicken/chicken-breast-boneless-per-250gm--/12622876","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622876-0-M.jpg&w=3840&q=75","Chicken Breast Boneless Per 250gm","Rs. 312"
"https://www.metro-online.pk/detail/fresh-food/meat/chicken/chicken-leg-tikka-per-1000gm/12624575","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12624575-0-M.jpg&w=3840&q=75","Chicken Leg Tikka per 1000gm","Rs. 870"
"https://www.metro-online.pk/detail/fresh-food/meat/chicken/chicken-karahi-cut-per-250gm-/12624563","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12624563-0-M.jpg&w=3840&q=75","Chicken Karahi Cut Per 250gm","Rs. 240"
"https://www.metro-online.pk/detail/fresh-food/meat/chicken/chicken-per-kg-(w/o-neck,-giblets)/12636998","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12636998-0-M.jpg&w=3840&q=75","Chicken per KG (w/o Neck, Giblets)","Rs. 817"
"https://www.metro-online.pk/detail/fresh-food/meat/chicken/chicken-biryani-cut-per-250gm/12623296","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12623296-0-M.jpg&w=3840&q=75","Chicken Biryani Cut Per 250gm","Rs. 240"
"https://www.metro-online.pk/detail/fresh-food/meat/chicken/chicken-qorma-cut-per-250gm/12623285","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12623285-0-M.jpg&w=3840&q=75","Chicken Qorma Cut Per 250GM","Rs. 240"
"https://www.metro-online.pk/detail/fresh-food/meat/chicken/chicken-mince-per-250gm-/12620195","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620195-0-M.jpg&w=3840&q=75","Chicken Mince Per 250gm","Rs. 350"
"https://www.metro-online.pk/detail/fresh-food/meat/chicken/chicken-breast-tikka-per-250gm/12624574","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12624574-0-M.jpg&w=3840&q=75","Chicken Breast Tikka Per 250GM","Rs. 218"
"https://www.metro-online.pk/detail/fresh-food/meat/chicken/chicken-mince-per-250gm/12623402","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12623402-0-M.jpg&w=3840&q=75","Chicken Mince Per 250GM","Rs. 350"
"https://www.metro-online.pk/detail/fresh-food/meat/chicken/chicken-drumsticks-per-1000gm-/12621911","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621911-0-M.jpg&w=3840&q=75","Chicken DrumSticks per 1000GM","Rs. 870"
"https://www.metro-online.pk/detail/fresh-food/meat/chicken/chicken-boneless-handi-cut-(cubes)-per-250gm/12626015","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12626015-0-M.jpg&w=3840&q=75","Chicken Boneless Handi Cut (Cubes) Per 250GM","Rs. 350"
"https://www.metro-online.pk/detail/fresh-food/meat/chicken/chicken-without-neck-and-giblets-per-kg/12620024","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620024-0-M.jpg&w=3840&q=75","Chicken without Neck and Giblets Per KG","Rs. 817"
