"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T"
"https://www.metro-online.pk/detail/fresh-food/seafood/fish/rohu-fish-per-2kg-(2000gm-pc)/12624659","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12624659-0-M.jpg&w=3840&q=75","Rohu Fish Per 2KG (2000GM PC)","Rs. 1,238"
"https://www.metro-online.pk/detail/fresh-food/seafood/fish/queen-fish-per-3kg/12630965","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12630965-0-M.jpg&w=3840&q=75","Queen Fish per 3KG","Rs. 2,547"
"https://www.metro-online.pk/detail/fresh-food/seafood/fish/red-snapper-fish-per-kg-piece-(2-4-kg-approx)/12624598","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12624598-0-M.jpg&w=3840&q=75","Red Snapper Fish Per KG Piece (2-4 KG Approx)","Rs. 1,549"
"https://www.metro-online.pk/detail/fresh-food/seafood/fish/king-fish-per-kg/12625096","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12625096-0-M.jpg&w=3840&q=75","King Fish per KG","Rs. 1,549"
"https://www.metro-online.pk/detail/fresh-food/seafood/fish/mackerel-(bangra)-1kg/12630976","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1697191039397.jpg&w=3840&q=75","Mackerel (Bangra) 1KG","Rs. 649"
"https://www.metro-online.pk/detail/fresh-food/seafood/fish/barracuda-fish-(kund)-(2---5kg-size)-per-2kg/12630968","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12630968-0-M.jpg&w=3840&q=75","Barracuda Fish (Kund) (2 - 5KG Size) per 2KG","Rs. 1,698"
"https://www.metro-online.pk/detail/fresh-food/seafood/fish/bohra-mushka-fish-per-1kg/12630959","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12630959-0-M.jpg&w=3840&q=75","Bohra Mushka Fish per 1KG","Rs. 549"
"https://www.metro-online.pk/detail/fresh-food/seafood/fish/tuna-fish-per-2kg/12630964","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12630964-0-M.jpg&w=3840&q=75","Tuna Fish per 2KG","Rs. 1,598"
"https://www.metro-online.pk/detail/fresh-food/seafood/fish/malli-fish-1kg/12630986","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12630986-0-M.jpg&w=3840&q=75","Malli Fish 1KG","Rs. 1,149"
"https://www.metro-online.pk/detail/fresh-food/seafood/fish/black-pomfret-fish-(small)-1kg/12630962","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12630962-0-M.jpg&w=3840&q=75","Black Pomfret Fish (Small) 1KG","Rs. 1,399"
"https://www.metro-online.pk/detail/fresh-food/seafood/fish/sua-fish-per-kg-(approx-3+-kg)/12630967","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12630967-0-M.jpg&w=3840&q=75","Sua Fish per KG (Approx 3+ KG)","Rs. 1,399"
"https://www.metro-online.pk/detail/fresh-food/seafood/fish/lady-fish-1kg/12627954","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12627954-0-M.jpg&w=3840&q=75","Lady Fish 1KG","Rs. 1,299"
"https://www.metro-online.pk/detail/fresh-food/seafood/fish/white-pomfret-per-kg/12625101","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1697190684262.jpg&w=3840&q=75","White Pomfret Per KG","Rs. 2,799"
"https://www.metro-online.pk/detail/fresh-food/seafood/fish/chakori-fish-1kg/12630970","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12630970-0-M.jpg&w=3840&q=75","Chakori Fish 1KG","Rs. 549"
"https://www.metro-online.pk/detail/fresh-food/seafood/fish/goli-fish-1kg/12630974","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12630974-0-M.jpg&w=3840&q=75","Goli Fish 1KG","Rs. 1,399"
"https://www.metro-online.pk/detail/fresh-food/seafood/fish/white-dandia-per-1kg/12630975","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12630975-0-M.jpg&w=3840&q=75","White Dandia per 1KG","Rs. 849"
"https://www.metro-online.pk/detail/fresh-food/seafood/fish/small-white-pomfret-fish-per-kg/12624597","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12624597-0-M.jpg&w=3840&q=75","Small White Pomfret Fish Per KG","Rs. 1,849"
