"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T"
"https://www.metro-online.pk/detail/grocery/desserts/jellies-and-custards/rafhan-jelly-strawberry-80-gm/12620272","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620272-0-M.jpg&w=3840&q=75","Rafhan Jelly Strawberry 80 GM","Rs. 149"
"https://www.metro-online.pk/detail/grocery/desserts/jellies-and-custards/rafhan-custard-vanilla-285gm/12620643","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620643-0-M.jpg&w=3840&q=75","Rafhan Custard Vanilla 285GM","Rs. 179"
"https://www.metro-online.pk/detail/grocery/desserts/jellies-and-custards/rafhan-jelly-banana-80-gm/12620372","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620372-0-M.jpg&w=3840&q=75","Rafhan Jelly Banana 80 GM","Rs. 149"
"https://www.metro-online.pk/detail/grocery/desserts/jellies-and-custards/rafhan-custard-mango-300gm/12620692","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620692-0-M.jpg&w=3840&q=75","Rafhan Custard Mango 300GM","Rs. 179"
"https://www.metro-online.pk/detail/grocery/desserts/jellies-and-custards/rafhan-egg-mix-pudding-80-gm/12621133","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621133-0-M.jpg&w=3840&q=75","Rafhan Egg Mix Pudding 80 GM","Rs. 160"
"https://www.metro-online.pk/detail/grocery/desserts/jellies-and-custards/rafhan-jelly-mango-80-gm-/12620553","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620553-0-M.jpg&w=3840&q=75","Rafhan Jelly Mango 80 GM","Rs. 149"
"https://www.metro-online.pk/detail/grocery/desserts/jellies-and-custards/rafhan-custard-banana-285-gm/12621481","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621481-0-M.jpg&w=3840&q=75","Rafhan Custard Banana 285 GM","Rs. 179"
"https://www.metro-online.pk/detail/grocery/desserts/jellies-and-custards/rafhan-custard-mango-50gm/12623534","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12623534-0-M.jpg&w=3840&q=75","Rafhan Custard Mango 50GM","Rs. 40"
"https://www.metro-online.pk/detail/grocery/desserts/jellies-and-custards/rafhan-custard-vanilla-50-gm/12623054","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12623054-0-M.jpg&w=3840&q=75","Rafhan Custard Vanilla 50 GM","Rs. 40"
"https://www.metro-online.pk/detail/grocery/desserts/jellies-and-custards/rafhan-strawberry-custard-50gm/12639992","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12639992-0-M.jpg&w=3840&q=75","Rafhan Strawberry Custard 50GM","Rs. 40"
