"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T","CategoryGrid_soldOut_btn__u0X7H"
"https://www.metro-online.pk/detail/grocery/desserts/traditional-mixes/laziza-kheer-mix-155-gm/12621976","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621976-0-M.jpg&w=3840&q=75","Laziza Kheer Mix 155 GM","Rs. 135",""
"https://www.metro-online.pk/detail/grocery/desserts/traditional-mixes/laziza-sheer-khurma-160-gm/12621909","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621909-0-M.jpg&w=3840&q=75","Laziza Sheer Khurma 160 GM","Rs. 199",""
"https://www.metro-online.pk/detail/grocery/desserts/traditional-mixes/my-cook-vanilla-essence-28ml/12636965","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12636965-0-M.jpg&w=3840&q=75","My Cook Vanilla Essence 28ML","Rs. 99",""
"https://www.metro-online.pk/detail/grocery/desserts/traditional-mixes/laziza-economy-kheer-mix-310-gm/12622478","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622478-0-M.jpg&w=3840&q=75","Laziza Economy Kheer Mix 310 GM","Rs. 265",""
"https://www.metro-online.pk/detail/grocery/desserts/traditional-mixes/laziza-standard-rasmalai-mix-75-gm/12622140","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622140-0-M.jpg&w=3840&q=75","Laziza Standard Rasmalai Mix 75 GM","Rs. 199",""
"https://www.metro-online.pk/detail/grocery/desserts/traditional-mixes/laziza-rasmalai-mix-pista-75-gm/12621604","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621604-0-M.jpg&w=3840&q=75","Laziza Rasmalai Mix Pista 75 GM","Rs. 199",""
"https://www.metro-online.pk/detail/grocery/desserts/traditional-mixes/laziza-kheer-mix-almond-155-gm/12622011","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622011-0-M.jpg&w=3840&q=75","Laziza Kheer Mix Almond 155 GM","Rs. 135",""
"https://www.metro-online.pk/detail/grocery/desserts/traditional-mixes/laziza-firni-khas-kewra-150-gm/12622749","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622749-0-M.jpg&w=3840&q=75","Laziza Firni Khas Kewra 150 GM","Rs. 135",""
"https://www.metro-online.pk/detail/grocery/desserts/traditional-mixes/laziza-strawberry-falooda-195g/12632296","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12632296-0-M.jpg&w=3840&q=75","Laziza Strawberry Falooda 195g","Rs. 209",""
"https://www.metro-online.pk/detail/grocery/desserts/traditional-mixes/national-kheer-mix-155-gm/12622868","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622868-0-M.jpg&w=3840&q=75","National Kheer Mix 155 GM","Rs. 175",""
"https://www.metro-online.pk/detail/grocery/desserts/traditional-mixes/laziza-kheer-mix-pistachio-155gm/12622402","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622402-0-M.jpg&w=3840&q=75","Laziza Kheer Mix Pistachio 155GM","Rs. 149",""
"https://www.metro-online.pk/detail/grocery/desserts/traditional-mixes/laziza-rabri-falooda-mix-200gm/12622383","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622383-0-M.jpg&w=3840&q=75","Laziza Rabri Falooda Mix 200GM","Rs. 209",""
"https://www.metro-online.pk/detail/grocery/desserts/traditional-mixes/laziza-shahi-tukra-mix-180gm/12639905","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12639905-0-M.jpg&w=3840&q=75","Laziza Shahi Tukra Mix 180GM","Rs. 209",""
"https://www.metro-online.pk/detail/grocery/desserts/traditional-mixes/laziza-gajar-kheer-145gm/12639903","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12639903-0-M.jpg&w=3840&q=75","Laziza Gajar Kheer 145GM","Rs. 149",""
"https://www.metro-online.pk/detail/grocery/desserts/traditional-mixes/laziza-gulab-jamun-mix-85-gm/12622910","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622910-0-M.jpg&w=3840&q=75","Laziza Gulab Jamun Mix 85 GM","Rs. 219",""
"https://www.metro-online.pk/detail/grocery/desserts/traditional-mixes/mehran-kheer-mix-pistachio-155gm/12622869","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622869-0-M.jpg&w=3840&q=75","Mehran Kheer Mix Pistachio 155GM","Rs. 149","Sold Out"
"https://www.metro-online.pk/detail/grocery/desserts/traditional-mixes/mehran-sheer-khurma-155-gm/12622511","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622511-0-M.jpg&w=3840&q=75","Mehran Sheer Khurma 155 GM","Rs. 199","Sold Out"
"https://www.metro-online.pk/detail/grocery/desserts/traditional-mixes/laziza-firni-saffaron-150gm/12639904","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12639904-0-M.jpg&w=3840&q=75","Laziza Firni Saffaron 150GM","Rs. 149","Sold Out"
"https://www.metro-online.pk/detail/grocery/desserts/traditional-mixes/falak-kheer-mix-155-gm/12627488","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12627488-0-M.jpg&w=3840&q=75","Falak Kheer Mix 155 GM","Rs. 70","Sold Out"
"https://www.metro-online.pk/detail/grocery/desserts/traditional-mixes/mehran-kheer-zafrani-155-gm/12622756","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622756-0-M.jpg&w=3840&q=75","Mehran Kheer Zafrani 155 GM","Rs. 149","Sold Out"
"https://www.metro-online.pk/detail/grocery/desserts/traditional-mixes/mehran-kheer-mix-155-gm/12621760","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621760-0-M.jpg&w=3840&q=75","Mehran Kheer Mix 155 GM","Rs. 149","Sold Out"
"https://www.metro-online.pk/detail/grocery/desserts/traditional-mixes/mehran-firni-mix-180gm/12621714","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621714-0-M.jpg&w=3840&q=75","Mehran Firni Mix 180GM","Rs. 149","Sold Out"
