"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T"
"https://www.metro-online.pk/detail/grocery/packaged-food/noodles-and-pasta/knorr-noodles-chicken-200gm/12625477","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1716544077418.jpg&w=3840&q=75","Knorr Noodles Chicken 200GM","Rs. 189"
"https://www.metro-online.pk/detail/grocery/packaged-food/noodles-and-pasta/knorr-noodles-chatpatta-200gm/12628499","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1716544223401.jpg&w=3840&q=75","Knorr Noodles Chatpatta 200GM","Rs. 189"
"https://www.metro-online.pk/detail/grocery/packaged-food/noodles-and-pasta/guard-elbow-macaroni-400gm/12636179","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12636179-0-M.jpg&w=3840&q=75","Guard Elbow Macaroni 400gm","Rs. 175"
"https://www.metro-online.pk/detail/grocery/packaged-food/noodles-and-pasta/crispo-spaghetti-500-gm/12620383","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620383-0-M.jpg&w=3840&q=75","Crispo Spaghetti 500 GM","Rs. 189"
"https://www.metro-online.pk/detail/grocery/packaged-food/noodles-and-pasta/crispo-curl-macroni-400-gm/12621122","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621122-0-M.jpg&w=3840&q=75","Crispo Curl Macroni 400 GM","Rs. 149"
"https://www.metro-online.pk/detail/grocery/packaged-food/noodles-and-pasta/knorr-noodles-chicken-300gm/12641709","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1716544420129.jpg&w=3840&q=75","Knorr Noodles Chicken 300GM","Rs. 285"
"https://www.metro-online.pk/detail/grocery/packaged-food/noodles-and-pasta/knorr-noodles-chatpatta-300gm/12641708","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1716544327102.jpg&w=3840&q=75","Knorr Noodles Chatpatta 300GM","Rs. 285"
"https://www.metro-online.pk/detail/grocery/packaged-food/noodles-and-pasta/national-vermicelli-120-gm/12620229","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1704784217744.jpg&w=3840&q=75","National Vermicelli 120 GM","Rs. 70"
"https://www.metro-online.pk/detail/grocery/packaged-food/noodles-and-pasta/guard-shell-macaroni-400gm/12636178","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12636178-0-M.jpg&w=3840&q=75","Guard Shell Macaroni 400gm","Rs. 185"
"https://www.metro-online.pk/detail/grocery/packaged-food/noodles-and-pasta/indomie-chicken-noodles-70g/12640303","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12640303-0-M.jpg&w=3840&q=75","Indomie Chicken Noodles 70g","Rs. 65"
"https://www.metro-online.pk/detail/grocery/packaged-food/noodles-and-pasta/knorr-blazin-noodles-jalapeno-102gm/65452988","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1708605670053.jpg&w=3840&q=75","Knorr Blazin Noodles Jalapeno 102GM","Rs. 153"
"https://www.metro-online.pk/detail/grocery/packaged-food/noodles-and-pasta/guard-spaghetti-450gm/12639907","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12639907-0-M.jpg&w=3840&q=75","Guard Spaghetti 450GM","Rs. 199"
"https://www.metro-online.pk/detail/grocery/packaged-food/noodles-and-pasta/indomie-lemon-tarka-noodles-70g/12640305","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1724244125882.jpg&w=3840&q=75","Indomie Lemon Tarka Noodles 70g","Rs. 65"
