"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T","CategoryGrid_soldOut_btn__u0X7H"
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/you-milk-chocolate-rs.30/12641020","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12641020-0-M.jpg&w=3840&q=75","You Milk Chocolate Rs.30","Rs. 29",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/bake-time-plain-cake-box/12625683","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12625683-0-M.jpg&w=3840&q=75","Bake Time Plain Cake Box","Rs. 205",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/candyland-super-sonnet-chocolate-12pcs/12640732","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12640732-0-M.jpg&w=3840&q=75","Candyland Super Sonnet Chocolate 12Pcs","Rs. 118",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/cadbury-dairy-milk-90-gm/12622971","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622971-0-M.jpg&w=3840&q=75","Cadbury Dairy Milk 90 GM","Rs. 330",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/bake-time-chocolate-cake-slice/12633546","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12633546-0-M.jpg&w=3840&q=75","Bake Time Chocolate Cake Slice","Rs. 239",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/peek-freans-smile-chocolate-donut-cake-box/12639359","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12639359-0-M.jpg&w=3840&q=75","Peek Freans Smile Chocolate Donut Cake Box","Rs. 293",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/cadbury-dairy-milk-bubbly-chocolate-40gm/12629439","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12629439-0-M.jpg&w=3840&q=75","Cadbury Dairy Milk Bubbly Chocolate 40GM","Rs. 199",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/hilal-cupkake-strawbery-rs.20/63455822","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1708163590559.jpg&w=3840&q=75","Hilal Cupkake Strawbery Rs.20","Rs. 205",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/peek-freans-smile-donut-strawberry-cakes-6pcs/12640615","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12640615-0-M.jpg&w=3840&q=75","Peek Freans Smile Donut Strawberry Cakes 6Pcs","Rs. 295",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/cadbury-dairy-milk-bubbly-/12623069","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12623069-0-M.jpg&w=3840&q=75","Cadbury Dairy Milk Bubbly","Rs. 99",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/cadbury-perk-12g-x24/60908609","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1717661266712.jpg&w=3840&q=75","Cadbury Perk 12G x24","Rs. 435",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/now-chocolate-rs-20-(12-pieces)/29796686","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1724329937604.jpg&w=3840&q=75","Now Chocolate Rs 20 (12 Pieces)","Rs. 235",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/sonnet-chocolate-12-pieces/29988270","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1724330049569.jpg&w=3840&q=75","Sonnet Chocolate 12 Pieces","Rs. 235",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/cadbury-dairy-milk-chocolate-9gm-box/12633183","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12633183-0-M.jpg&w=3840&q=75","Cadbury Dairy Milk Chocolate 9GM Box","Rs. 648",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/now-chocolate-rs-10-12-pieces/13122996","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1712213290249.jpg&w=3840&q=75","Now Chocolate Rs 10 12 Pieces","Rs. 99",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/perk-cadbury-chocolate-box-24-x-18.2gm/12636485","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12636485-0-M.jpg&w=3840&q=75","Perk Cadbury Chocolate Box 24 x 18.2GM","Rs. 699",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/kitkat-2-fingers-17.7gm/30092084","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1724330164409.jpg&w=3840&q=75","Kitkat 2 Fingers 17.7GM","Rs. 159",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/hilal-cup-kake-double-choc-rs.20/63334044","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1708163443186.jpg&w=3840&q=75","Hilal Cup Kake Double Choc Rs.20","Rs. 238",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/cadbury-dairy-milk-bite-size-chocolate-pouch-160gm/12629441","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12629441-0-M.jpg&w=3840&q=75","Cadbury Dairy Milk Bite Size Chocolate Pouch 160GM","Rs. 719",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/cadbury-dairy-milk-chocolate-fruit-and-nuts-38gm/12629453","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12629453-0-M.jpg&w=3840&q=75","Cadbury Dairy Milk Chocolate Fruit and Nuts 38GM","Rs. 199",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/bubbly-minis-bag/12631639","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12631639-0-M.jpg&w=3840&q=75","Bubbly Minis Bag","Rs. 799",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/cadbury-dairy-milk-chocolate-18gm-box/12633184","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12633184-0-M.jpg&w=3840&q=75","Cadbury Dairy Milk Chocolate 18GM Box","Rs. 1,080",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/bake-time-fruit-cake-box/12633326","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12633326-0-M.jpg&w=3840&q=75","Bake Time Fruit Cake Box","Rs. 239",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/cadbury-oreo-38g/12636810","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1734937449635.jpg&w=3840&q=75","Cadbury Oreo 38g","Rs. 228",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/cadbury-chocolate-gift-box/12641251","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12641251-0-M.jpg&w=3840&q=75","Cadbury Chocolate Gift Box","Rs. 1,240",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/cadbury-dairy-milk-roasted-almonds-40gm/12620478","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620478-0-M.jpg&w=3840&q=75","Cadbury Dairy Milk Roasted Almonds 40GM","Rs. 199",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/cadbury-dairy-milk-bubbly-chocolate-87gm/12629481","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12629481-0-M.jpg&w=3840&q=75","Cadbury Dairy Milk Bubbly Chocolate 87GM","Rs. 449",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/chocolate-oreos-minis-bag-/12631642","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12631642-0-M.jpg&w=3840&q=75","Chocolate Oreos Minis Bag","Rs. 999",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/cadbury-dairy-milk-chocolate-x24-/12633185","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12633185-0-M.jpg&w=3840&q=75","Cadbury Dairy Milk Chocolate x24","Rs. 3,599",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/olmec-dark-chocolate-2kg/58451868","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1739858857743.jpg&w=3840&q=75","Olmec Dark Chocolate 2Kg","Rs. 1,897",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/olmec-milky-chocolate-2kg/58868430","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1739858947102.jpg&w=3840&q=75","Olmec Milky Chocolate 2Kg","Rs. 2,875",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/olmec-white-chocolate-2kg/58951758","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1739859002060.jpg&w=3840&q=75","Olmec White Chocolate 2Kg","Rs. 2,530",""
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/candyland-paradise-chocolate-12pcs/12640743","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12640743-0-M.jpg&w=3840&q=75","Candyland Paradise Chocolate 12Pcs","Rs. 99","Sold Out"
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/cake-up-rs.25/81736853","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1740482140988.jpg&w=3840&q=75","Cake Up Rs.25","Rs. 280","Sold Out"
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/opus-bar-caramel-filled-rs.10/82044484","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1719482515833.jpg&w=3840&q=75","Opus Bar Caramel Filled Rs.10","Rs. 199","Sold Out"
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/cadbury-dairy-milk-chocolate-36-gm/12633181","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1734937291780.jpg&w=3840&q=75","Cadbury Dairy Milk Chocolate 36 GM","Rs. 99","Sold Out"
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/buttons-chocolate-box/94124724","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1711695579442.jpg&w=3840&q=75","Buttons Chocolate Box","Rs. 335","Sold Out"
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/snickers-chocolate-50gm/12629666","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12629666-0-M.jpg&w=3840&q=75","Snickers Chocolate 50GM","Rs. 299","Sold Out"
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/dewdrop-chocolate-cl08g-100gm-x8/12640986","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12640986-0-M.jpg&w=3840&q=75","Dewdrop Chocolate Cl08g 100GM x8","Rs. 779","Sold Out"
"https://www.metro-online.pk/detail/grocery/snacks/cakes-and-chocolates/dewdrop-chocolates-113gm-x9/12640979","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12640979-0-M.jpg&w=3840&q=75","Dewdrop Chocolates 113GM x9","Rs. 649","Sold Out"
