"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T","CategoryGrid_soldOut_btn__u0X7H"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/crisps/lays-masala-62g/54574764","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1736939266743.jpg&w=3840&q=75","Lays Masala 62G","Rs. 98",""
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/crisps/lays-crisps-salted-30gm/12620923","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1730979032328.jpg&w=3840&q=75","Lays Crisps Salted 30GM","Rs. 48",""
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/crisps/ok-dahi-boondi-500-gm/12620369","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620369-0-M.jpg&w=3840&q=75","Ok Dahi Boondi 500 GM","Rs. 420",""
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/crisps/ok-dahi-boondi-1kg/12620594","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620594-0-M.jpg&w=3840&q=75","OK Dahi Boondi 1KG","Rs. 850",""
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/crisps/ok-pakori-1kg/12620726","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620726-0-M.jpg&w=3840&q=75","OK Pakori 1KG","Rs. 850",""
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/crisps/lays-masala-45-gm/12620368","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1730965193818.jpg&w=3840&q=75","Lays Masala 45 GM","Rs. 65",""
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/crisps/kurkure-chutney-chaska-110-gm/12620366","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620366-0-M.jpg&w=3840&q=75","Kurkure Chutney Chaska 110 GM","Rs. 58",""
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/crisps/lays-paprika/12640617","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12640617-0-M.jpg&w=3840&q=75","Lays Paprika","Rs. 69",""
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/crisps/noms-sour-cream-&-herb-32g/89707513","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1728390093795.jpg&w=3840&q=75","Noms Sour Cream & Herb 32G","Rs. 79",""
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/crisps/noms-smoky-bbq-32-gm/89707514","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1728390155177.jpg&w=3840&q=75","Noms Smoky BBQ 32 GM","Rs. 79",""
