"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T","CategoryGrid_soldOut_btn__u0X7H"
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/colgate-tooth-brush-premier-clean-adult-tube-x1/12620512","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620512-0-M.jpg&w=3840&q=75","Colgate Tooth Brush Premier Clean Adult Tube X1","Rs. 89",""
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/colgate-tooth-brush-charcoal-soft/12621644","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621644-0-M.jpg&w=3840&q=75","Colgate Tooth Brush Charcoal Soft","Rs. 189",""
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/colgate-tooth-brush-adult-zigzag-soft/12620884","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620884-0-M.jpg&w=3840&q=75","Colgate Tooth Brush Adult Zigzag Soft","Rs. 119",""
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/colgate-tooth-brush-slim-soft-/12622305","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622305-0-M.jpg&w=3840&q=75","Colgate Tooth Brush Slim Soft","Rs. 179",""
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/colgate-tooth-brush-classic-clean-/12632283","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12632283-0-M.jpg&w=3840&q=75","Colgate Tooth Brush Classic Clean","Rs. 79",""
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/colgate-triple-pack-toothbrush-premier-clean-soft/56292158","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F306799.jpg&w=3840&q=75","Colgate Triple Pack Toothbrush Premier Clean Soft","Rs. 179",""
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/colgate-zigzag-toothbrush-twin/56292157","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F306798.jpg&w=3840&q=75","Colgate Zigzag Toothbrush Twin","Rs. 179",""
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/colgate-brush-triple-protection-soft/56292154","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F306791.jpg&w=3840&q=75","Colgate Brush Triple Protection Soft","Rs. 199",""
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/colgate-tooth-brush-adult-extra-clean-soft-/12620254","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620254-0-M.jpg&w=3840&q=75","Colgate Tooth Brush Adult Extra Clean Soft","Rs. 99",""
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/colgate-tooth-brush-extra-clean-with-cap-/12634768","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12634768-0-M.jpg&w=3840&q=75","Colgate Tooth Brush Extra Clean with Cap","Rs. 99",""
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/colgate-tooth-brush-zig-zag-plus-/12639440","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12639440-0-M.jpg&w=3840&q=75","Colgate Tooth Brush Zig Zag Plus","Rs. 119",""
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/colgate-tooth-brush-wonder-woman-/12639442","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12639442-0-M.jpg&w=3840&q=75","Colgate Tooth Brush Wonder Woman","Rs. 189",""
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/colgate-toothbrush-twin-pack-medium/12639880","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12639880-0-M.jpg&w=3840&q=75","Colgate Toothbrush Twin Pack Medium","Rs. 149",""
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/colgate-tooth-brush-premier-clean-/12634699","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12634699-0-M.jpg&w=3840&q=75","Colgate Tooth Brush Premier Clean","Rs. 89",""
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/colgate-toothbrush-twin-pack-zigzag/12639882","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12639882-0-M.jpg&w=3840&q=75","Colgate Toothbrush Twin Pack Zigzag","Rs. 179",""
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/sensodyne-gumcare-tooth-brush/12639064","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12639064-0-M.jpg&w=3840&q=75","Sensodyne Gumcare Tooth brush","Rs. 222",""
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/colgate-tooth-brush-adult-navigation-plus-tube/12621550","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621550-0-M.jpg&w=3840&q=75","Colgate Tooth Brush Adult Navigation Plus Tube","Rs. 209",""
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/colgate-tooth-brush-adult-360-degree-soft-/12621387","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621387-0-M.jpg&w=3840&q=75","Colgate Tooth Brush Adult 360 Degree Soft","Rs. 229",""
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/colgate-tooth-brush-batman-/12639441","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12639441-0-M.jpg&w=3840&q=75","Colgate Tooth Brush Batman","Rs. 189",""
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/colgate-toothbrush-twin-pack-soft/12639881","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12639881-0-M.jpg&w=3840&q=75","Colgate Toothbrush Twin Pack Soft","Rs. 149",""
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/sensodyne-gumcare-extra-soft-tooth-brush/12639065","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12639065-0-M.jpg&w=3840&q=75","Sensodyne Gumcare Extra Soft Tooth brush","Rs. 222","Sold Out"
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/colgate-tooth-brush-adult-twister-medium-/12621791","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621791-0-M.jpg&w=3840&q=75","Colgate Tooth Brush Adult Twister Medium","Rs. 107","Sold Out"
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/colgate-tooth-brush-adult-twister-soft/12621188","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621188-0-M.jpg&w=3840&q=75","Colgate Tooth Brush Adult Twister Soft","Rs. 107","Sold Out"
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/colgate-tooth-brush-kids-extra-soft/12620672","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620672-0-M.jpg&w=3840&q=75","Colgate Tooth Brush Kids Extra Soft","Rs. 119","Sold Out"
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/colgate-brush-triple-pk-med/94124780","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1711694576978.jpg&w=3840&q=75","Colgate Brush Triple PK Med","Rs. 199","Sold Out"
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-brushes/colgate-triple-pack-zigzag-toothbrush-medium/56292156","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F306794.jpg&w=3840&q=75","Colgate Triple Pack Zigzag Toothbrush Medium","Rs. 239","Sold Out"
