"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T"
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-pastes/colgate-sparkle-toothpaste-130gm/12622066","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1709017546447.jpg&w=3840&q=75","Colgate Sparkle Toothpaste 130GM","Rs. 169"
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-pastes/colgate-tooth-paste-max-fresh-blue-125gm/12620521","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620521-0-M.jpg&w=3840&q=75","Colgate Tooth Paste Max Fresh Blue 125GM","Rs. 287"
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-pastes/colgate-tooth-paste-regular-200-gm/12620216","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620216-0-M.jpg&w=3840&q=75","Colgate Tooth Paste Regular 200 GM","Rs. 342"
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-pastes/sensodyne-toothpaste-fluoride-100-gm/12620832","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620832-0-M.jpg&w=3840&q=75","Sensodyne Toothpaste Fluoride 100 GM","Rs. 337"
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-pastes/doctor-toothpaste-jumbo-150gm/12639473","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12639473-0-M.jpg&w=3840&q=75","Doctor Toothpaste Jumbo 150GM","Rs. 252"
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-pastes/colgate-tooth-paste-regular-75gm/12622750","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622750-0-M.jpg&w=3840&q=75","Colgate Tooth Paste Regular 75GM","Rs. 154"
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-pastes/colgate-tooth-paste-miswak-50gm/12620856","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1709016590980.jpg&w=3840&q=75","Colgate Tooth Paste Miswak 50GM","Rs. 60"
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-pastes/soda-white-toothpaste-brush/56292181","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F331952.jpg&w=3840&q=75","Soda White Toothpaste Brush","Rs. 196"
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-pastes/doctor-toothpaste-large-brush-pack-70gm/12639475","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12639475-0-M.jpg&w=3840&q=75","Doctor Toothpaste Large Brush Pack 70GM","Rs. 193"
"https://www.metro-online.pk/detail/health-and-beauty/oral-care/tooth-pastes/parodontax-tooth-paste-herbal-100g/12639315","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12639315-0-M.jpg&w=3840&q=75","Parodontax Tooth Paste Herbal 100g","Rs. 350"
