"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T","CategoryGrid_soldOut_btn__u0X7H"
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/treet-hygiene-razor-3-s-pouch/12642977","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12642977-0-M.jpg&w=3840&q=75","Treet Hygiene Razor-3 S Pouch","Rs. 98",""
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/treet-hygiene-razor-1s-(48)/12642976","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12642976-0-M.jpg&w=3840&q=75","Treet Hygiene Razor 1S (48)","Rs. 50",""
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/treet-ii-(5)-orange/12642995","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12642995-0-M.jpg&w=3840&q=75","Treet-II (5) Orange","Rs. 126",""
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/treet-swift-ii-razor-1s-pouch/54941517","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1735628037011.jpg&w=3840&q=75","Treet Swift II Razor 1s Pouch","Rs. 100",""
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/treet-tidy-razor/12642990","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12642990-0-M.jpg&w=3840&q=75","Treet Tidy Razor","Rs. 56",""
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/treet-ii-platinum-razor/12642996","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12642996-0-M.jpg&w=3840&q=75","Treet-II Platinum Razor","Rs. 36",""
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/treet-trim-ii-xl-card/12642992","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12642992-0-M.jpg&w=3840&q=75","Treet Trim-Ii Xl Card","Rs. 55",""
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/treet-hercules/12642975","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12642975-0-M.jpg&w=3840&q=75","Treet Hercules","Rs. 370",""
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/treet-black-carbon-steel-blade/12642969","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12642969-0-M.jpg&w=3840&q=75","Treet Black Carbon Steel Blade","Rs. 75",""
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/gillette-blue-2-plus-bag-of-3/12622299","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622299-0-M.jpg&w=3840&q=75","Gillette Blue 2 Plus Bag of 3","Rs. 545",""
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/nivea-shaving-gel-protect-200ml/12635358","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12635358-0-M.jpg&w=3840&q=75","Nivea Shaving Gel Protect 200ml","Rs. 3,000",""
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/treet-shaving-foam-original-200ml/89359913","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1729489516666.jpg&w=3840&q=75","Treet Shaving Foam Original 200ML","Rs. 499",""
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/gillette-mach3-cartridge-8/12632635","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12624498-0-M.jpg&w=3840&q=75","Gillette Mach3 Cartridge 8","Rs. 6,945",""
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/nivea-foam-100ml/12635304","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12635304-0-M.jpg&w=3840&q=75","Nivea Foam 100ml","Rs. 1,800",""
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/nivea-shaving-foam-sensitive-200ml/12635355","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12635355-0-M.jpg&w=3840&q=75","Nivea Shaving Foam Sensitive 200ML","Rs. 2,200",""
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/nivea-shaving-gel-cool-200ml/12635356","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12635356-0-M.jpg&w=3840&q=75","Nivea Shaving Gel Cool 200ml","Rs. 3,000",""
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/nivea-shaving-gel-sensitive-200ml/12635357","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12635357-0-M.jpg&w=3840&q=75","Nivea Shaving Gel Sensitive 200ml","Rs. 3,000",""
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/treet-safex-salon-razor/12642985","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12642985-0-M.jpg&w=3840&q=75","Treet Safex Salon Razor","Rs. 30",""
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/nivea-shaving-foam-fresh--cool-200ml/12635359","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12635359-0-M.jpg&w=3840&q=75","Nivea Shaving Foam Fresh  Cool 200ML","Rs. 2,200",""
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/nivea-men-protect-and-care-shaving-foam-200ml/12638265","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12638265-0-M.jpg&w=3840&q=75","Nivea Men Protect and Care Shaving Foam 200ml","Rs. 2,200",""
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/treet-comfort-safety-razor/12642971","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12642971-0-M.jpg&w=3840&q=75","Treet Comfort Safety Razor","Rs. 490",""
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/treet-pedicure-blade/12642980","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12642980-0-M.jpg&w=3840&q=75","Treet Pedicure Blade","Rs. 100",""
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/gillette-shaving-foam-regular-200ml/12621462","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621462-0-M.jpg&w=3840&q=75","Gillette Shaving Foam Regular 200ML","Rs. 800","Sold Out"
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/gillette-blue-3-flexi-razor/94124768","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1711697501962.jpg&w=3840&q=75","Gillette Blue 3 Flexi Razor","Rs. 194","Sold Out"
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/gillette-blue-3-flexi-razor-bag-of-3/94124770","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1711697445775.jpg&w=3840&q=75","Gillette Blue 3 Flexi Razor Bag of 3","Rs. 563","Sold Out"
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/treet-ii-(5)-blue/12642994","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12642994-0-M.jpg&w=3840&q=75","Treet-II (5) Blue","Rs. 160","Sold Out"
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/nivea-men-protect-and-care-shaving-cream-100ml/12638266","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12638266-0-M.jpg&w=3840&q=75","Nivea Men Protect and Care Shaving Cream 100ml","Rs. 1,500","Sold Out"
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/gillette-blue-ii-1up-razor-x-2-/94124772","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1711697373071.jpg&w=3840&q=75","Gillette Blue II 1up Razor x 2","Rs. 370","Sold Out"
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/gillette-blue-3-hrdc-1up-razor--/12620283","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620283-0-M.jpg&w=3840&q=75","Gillette Blue 3 HRDC 1UP Razor","Rs. 295","Sold Out"
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/gillette-razor-g2-disp-bag-of-3/12620710","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620710-0-M.jpg&w=3840&q=75","Gillette Razor G2-Disp-Bag of 3","Rs. 405","Sold Out"
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/gillette-mach3-turbo-4-carton/12623359","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12623359-0-M.jpg&w=3840&q=75","Gillette Mach3 Turbo 4 Carton","Rs. 5,685","Sold Out"
"https://www.metro-online.pk/detail/health-and-beauty/toiletries/men-grooming/gillette-blue-3-bag-of-3/12628891","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12628891-0-M.jpg&w=3840&q=75","Gillette Blue 3 Bag of 3","Rs. 859","Sold Out"
