"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T"
"https://www.metro-online.pk/detail/household/house-cleaning/bins-and-buckets/kiwi-bucket-plastic-(red)/12629347","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12629347-0-M.jpg&w=3840&q=75","Kiwi Bucket Plastic (Red)","Rs. 1,199"
"https://www.metro-online.pk/detail/household/house-cleaning/bins-and-buckets/plastic-dustbin-medium/12637222","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12637222-0-M.jpg&w=3840&q=75","Plastic Dustbin Medium","Rs. 429"
"https://www.metro-online.pk/detail/household/house-cleaning/bins-and-buckets/kiwi-bucket-plastic-(blue)/12629348","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12629348-0-M.jpg&w=3840&q=75","Kiwi Bucket Plastic (Blue)","Rs. 1,399"
"https://www.metro-online.pk/detail/household/house-cleaning/bins-and-buckets/baba-dustbin-pink-(small)-/12629296","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12629296-0-M.jpg&w=3840&q=75","Baba Dustbin Pink (Small)","Rs. 519"
"https://www.metro-online.pk/detail/household/house-cleaning/bins-and-buckets/baba-dustpan-plastic--/12629292","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12629292-0-M.jpg&w=3840&q=75","Baba Dustpan Plastic","Rs. 319"
"https://www.metro-online.pk/detail/household/house-cleaning/bins-and-buckets/baba-dustbin-grey-(extra-large)-/12629243","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12629243-0-M.jpg&w=3840&q=75","Baba Dustbin Grey (Extra Large)","Rs. 1,419"
"https://www.metro-online.pk/detail/household/house-cleaning/bins-and-buckets/elegant-tub-15-liters/49325794","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F322472.jpg&w=3840&q=75","Elegant Tub 15 Liters","Rs. 599"
"https://www.metro-online.pk/detail/household/house-cleaning/bins-and-buckets/appollo-glow-bucket/49325796","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F329770.jpg&w=3840&q=75","Appollo Glow Bucket","Rs. 1,399"
"https://www.metro-online.pk/detail/household/house-cleaning/bins-and-buckets/elegant-tub-78-liters/49325797","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F322475.jpg&w=3840&q=75","Elegant Tub 78 Liters","Rs. 1,999"
"https://www.metro-online.pk/detail/household/house-cleaning/bins-and-buckets/w.bucket-spontex-oval-x1/12639420","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12639420-0-M.jpg&w=3840&q=75","W.Bucket Spontex Oval X1","Rs. 3,336"
