"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T"
"https://www.metro-online.pk/detail/household/kitchen-utensils-and-cutlery/pots-and-pans/non-stick-fry-pan-crystal-26cm/12636560","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12636560-0-M.jpg&w=3840&q=75","Non Stick Fry Pan Crystal 26CM","Rs. 1,310"
"https://www.metro-online.pk/detail/household/kitchen-utensils-and-cutlery/pots-and-pans/non-stick-tawa-crystal-30cm/12636559","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1728372046468.jpg&w=3840&q=75","Non Stick Tawa Crystal 30CM","Rs. 2,000"
"https://www.metro-online.pk/detail/household/kitchen-utensils-and-cutlery/pots-and-pans/non-stick-karahi-open-28cm/12636558","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12636558-0-M.jpg&w=3840&q=75","Non-Stick Karahi Open 28CM","Rs. 1,880"
"https://www.metro-online.pk/detail/household/kitchen-utensils-and-cutlery/pots-and-pans/chef-karahi-cooker-5l/12634460","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12634460-0-M.jpg&w=3840&q=75","Chef Karahi Cooker 5L","Rs. 9,920"
"https://www.metro-online.pk/detail/household/kitchen-utensils-and-cutlery/pots-and-pans/chef-glass-lid-(22cm)/12634480","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12634480-0-M.jpg&w=3840&q=75","Chef Glass Lid (22cm)","Rs. 840"
"https://www.metro-online.pk/detail/household/kitchen-utensils-and-cutlery/pots-and-pans/chef-glass-lid-(24cm)/12634482","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12634482-0-M.jpg&w=3840&q=75","Chef Glass Lid (24cm)","Rs. 920"
"https://www.metro-online.pk/detail/household/kitchen-utensils-and-cutlery/pots-and-pans/non-stick-fry-pan-crystal-22cm/12636562","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12636562-0-M.jpg&w=3840&q=75","Non Stick Fry Pan Crystal 22CM","Rs. 1,189"
"https://www.metro-online.pk/detail/household/kitchen-utensils-and-cutlery/pots-and-pans/cook-tech-pressure-cooker-7ltr/12636557","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12636557-0-M.jpg&w=3840&q=75","Cook Tech Pressure Cooker 7LTR","Rs. 7,750"
"https://www.metro-online.pk/detail/household/kitchen-utensils-and-cutlery/pots-and-pans/cook-tech-pressure-cooker-9ltr/12636556","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12636556-0-M.jpg&w=3840&q=75","Cook Tech Pressure Cooker 9LTR","Rs. 8,120"
"https://www.metro-online.pk/detail/household/kitchen-utensils-and-cutlery/pots-and-pans/giftset-crystal-magna-17-pieces/80813352","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1728380906916.jpg&w=3840&q=75","Giftset Crystal Magna 17 Pieces","Rs. 15,998"
"https://www.metro-online.pk/detail/household/kitchen-utensils-and-cutlery/pots-and-pans/cookware-set-non-stick/12627826","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12627826-0-M.jpg&w=3840&q=75","Cookware Set Non Stick","Rs. 21,249"
