"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T","CategoryGrid_soldOut_btn__u0X7H"
"https://www.metro-online.pk/detail/household/miscellaneous/disposables/jazee-bin-liner-xlagre-x20/12621777","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621777-0-M.jpg&w=3840&q=75","Jazee Bin Liner XLagre x20","Rs. 293",""
"https://www.metro-online.pk/detail/household/miscellaneous/disposables/jazee-bin-liner-30-litre/12621879","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621879-0-M.jpg&w=3840&q=75","Jazee Bin Liner 30 Litre","Rs. 197",""
"https://www.metro-online.pk/detail/household/miscellaneous/disposables/jazee-storage-bag%C2%A0-20l/70669640","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1736770908640.jpg&w=3840&q=75","Jazee Storage Bag  20L","Rs. 389",""
"https://www.metro-online.pk/detail/household/miscellaneous/disposables/tid-eaz-no.28---tidy-home---24/70992511","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1736771186585.jpg&w=3840&q=75","Tid Eaz NO.28 - Tidy Home - 24","Rs. 585",""
"https://www.metro-online.pk/detail/household/miscellaneous/disposables/metro-professional-disposable-plastic-food-storage-containers-with-lid-1l-x6/12637860","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12637860-0-M.jpg&w=3840&q=75","Metro Professional Disposable Plastic Food Storage Containers With Lid 1L X6","Rs. 177",""
"https://www.metro-online.pk/detail/household/miscellaneous/disposables/jazee-bin-liner-31/12621928","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621928-0-M.jpg&w=3840&q=75","Jazee Bin Liner 31","Rs. 365",""
"https://www.metro-online.pk/detail/household/miscellaneous/disposables/room-service-garbage-bags-/12621962","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621962-0-M.jpg&w=3840&q=75","Room Service Garbage Bags","Rs. 461",""
"https://www.metro-online.pk/detail/household/miscellaneous/disposables/bio-hazard-garbage-bag-/12622275","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622275-0-M.jpg&w=3840&q=75","Bio Hazard Garbage Bag","Rs. 389",""
"https://www.metro-online.pk/detail/household/miscellaneous/disposables/green/blue-reusable-large-bags/12631870","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12631870-0-M.jpg&w=3840&q=75","Green/Blue Reusable Large Bags","Rs. 100",""
"https://www.metro-online.pk/detail/household/miscellaneous/disposables/metro-professional-cling-film-45cm-x-30m/12627703","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12627703-0-M.jpg&w=3840&q=75","Metro Professional Cling Film 45CM X 30M","Rs. 566",""
