"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T","CategoryGrid_soldOut_btn__u0X7H"
"https://www.metro-online.pk/detail/household/miscellaneous/o.t.c-medicines/strepsils-honey-and-lemon-pack-of-10/12622847","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622847-0-M.jpg&w=3840&q=75","Strepsils Honey and Lemon Pack of 10","Rs. 189",""
"https://www.metro-online.pk/detail/household/miscellaneous/o.t.c-medicines/qarshi-sharbat-toot-sia-120ml/12620846","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620846-0-M.jpg&w=3840&q=75","Qarshi Sharbat Toot Sia 120ML","Rs. 155",""
"https://www.metro-online.pk/detail/household/miscellaneous/o.t.c-medicines/qarshi-sharbat-faulad-240ml/12622603","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622603-0-M.jpg&w=3840&q=75","Qarshi Sharbat Faulad 240ML","Rs. 250",""
"https://www.metro-online.pk/detail/household/miscellaneous/o.t.c-medicines/qarshi-ispaghol-husk-25gm/12633515","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12633515-0-M.jpg&w=3840&q=75","Qarshi Ispaghol Husk 25GM","Rs. 215",""
"https://www.metro-online.pk/detail/household/miscellaneous/o.t.c-medicines/durex-perfect-glide/tingle-play-50ml/12631486","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12631486-0-M.jpg&w=3840&q=75","Durex Perfect Glide/Tingle Play 50ML","Rs. 946",""
"https://www.metro-online.pk/detail/household/miscellaneous/o.t.c-medicines/qarshi-surfi-tab-tablet/12628985","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12628985-0-M.jpg&w=3840&q=75","Qarshi Surfi Tab Tablet","Rs. 395",""
"https://www.metro-online.pk/detail/household/miscellaneous/o.t.c-medicines/qarshi-gestofil-tablet-100-tablets/12628983","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12628983-0-M.jpg&w=3840&q=75","Qarshi Gestofil Tablet 100 tablets","Rs. 145",""
"https://www.metro-online.pk/detail/household/miscellaneous/o.t.c-medicines/qarshi-musaffen-liquid-120-ml/12628976","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12628976-0-M.jpg&w=3840&q=75","Qarshi Musaffen Liquid 120 ML","Rs. 130",""
"https://www.metro-online.pk/detail/household/miscellaneous/o.t.c-medicines/qarshi-lal-sharbat-120-ml/12628973","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12628973-0-M.jpg&w=3840&q=75","Qarshi Lal Sharbat 120 ML","Rs. 190",""
"https://www.metro-online.pk/detail/household/miscellaneous/o.t.c-medicines/ispaghol-husk-140-gm/12628529","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12628529-0-M.jpg&w=3840&q=75","Ispaghol Husk 140 GM","Rs. 1,245",""
"https://www.metro-online.pk/detail/household/miscellaneous/o.t.c-medicines/metro-professional-cotton-wool-500-gm/12627726","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12627726-0-M.jpg&w=3840&q=75","Metro Professional Cotton Wool 500 GM","Rs. 825",""
"https://www.metro-online.pk/detail/household/miscellaneous/o.t.c-medicines/life-style-rose-water-drop-25ml/12624090","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12624090-0-M.jpg&w=3840&q=75","Life Style Rose Water Drop 25ML","Rs. 38",""
"https://www.metro-online.pk/detail/household/miscellaneous/o.t.c-medicines/qarshi-arq-e-gulab-120ml/12621728","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621728-0-M.jpg&w=3840&q=75","Qarshi Arq-e-Gulab 120ML","Rs. 90",""
"https://www.metro-online.pk/detail/household/miscellaneous/o.t.c-medicines/dettol-solution-100ml/36620932","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1704436994265.jpg&w=3840&q=75","Dettol Solution 100ML","Rs. 419","Sold Out"
"https://www.metro-online.pk/detail/household/miscellaneous/o.t.c-medicines/qarshi-johar-joshanda-regular/12633265","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12633265-0-M.jpg&w=3840&q=75","Qarshi Johar Joshanda Regular","Rs. 750","Sold Out"
"https://www.metro-online.pk/detail/household/miscellaneous/o.t.c-medicines/durex-extra-safe-condoms-pack-of-3s/12626603","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12626603-0-M.jpg&w=3840&q=75","Durex Extra Safe Condoms Pack of 3s","Rs. 387","Sold Out"
